Attaching 1 probe...
Attaching 1 probe...
Attaching 1 probe...
bpftrace 45300 5 1396015847808029
swapper/5 0 5 1396015847813826
bpftrace 45300 5 1396015847845874
swapper/5 0 5 1396015847847825
bpftrace 45300 5 1396015847853987
swapper/5 0 5 1396015847855724
bpftrace 45300 5 1396015847861544
swapper/5 0 5 1396015847863171
bpftrace 45300 5 1396015847868944
swapper/5 0 5 1396015847870604
bpftrace 45300 5 1396015847876443
swapper/5 0 5 1396015847878113
bpftrace 45300 5 1396015847884258
swapper/5 0 5 1396015847886123
bpftrace 45300 5 1396015847892122
swapper/5 0 5 1396015847893999
bpftrace 45300 5 1396015847899864
swapper/5 0 5 1396015847901620
bpftrace 45300 5 1396015847907238
swapper/5 0 5 1396015847909057
bpftrace 45300 5 1396015847914813
swapper/5 0 5 1396015847916534
udisksd 793 6 1396015847918595
bpftrace 45300 5 1396015847928331
swapper/5 0 5 1396015847930107
bpftrace 45300 5 1396015847936051
swapper/5 0 5 1396015847937736
bpftrace 45300 5 1396015847943807
swapper/5 0 5 1396015847945575
bpftrace 45300 5 1396015847951674
swapper/5 0 5 1396015847953462
bpftrace 45300 5 1396015847959488
swapper/5 0 5 1396015847961132
bpftrace 45300 5 1396015847967091
swapper/5 0 5 1396015847968628
bpftrace 45300 5 1396015847974467
swapper/5 0 5 1396015847976250
bpftrace 45300 5 1396015847982031
swapper/5 0 5 1396015847983789
bpftrace 45300 5 1396015847989641
swapper/5 0 5 1396015847991387
bpftrace 45300 5 1396015847997224
swapper/5 0 5 1396015848002140
bpftrace 45300 5 1396015848008035
swapper/5 0 5 1396015848009843
bpftrace 45300 5 1396015848015671
swapper/5 0 5 1396015848017462
bpftrace 45300 5 1396015848026889
swapper/5 0 5 1396015848028601
bpftrace 45300 5 1396015848037145
swapper/5 0 5 1396015848038597
bpftrace 45300 5 1396015848047721
swapper/5 0 5 1396015848050807
bpftrace 45300 5 1396015848058048
swapper/5 0 5 1396015848059742
bpftrace 45300 5 1396015848069372
swapper/5 0 5 1396015848071000
bpftrace 45300 5 1396015848076565
swapper/5 0 5 1396015848078289
bpftrace 45300 5 1396015848086777
swapper/5 0 5 1396015848088576
bpftrace 45300 5 1396015848094582
swapper/5 0 5 1396015848096334
bpftrace 45300 5 1396015848101721
swapper/5 0 5 1396015848103287
bpftrace 45300 5 1396015848108787
swapper/5 0 5 1396015848110711
bpftrace 45300 5 1396015848118458
swapper/5 0 5 1396015848120147
bpftrace 45300 5 1396015848126399
swapper/5 0 5 1396015848128324
bpftrace 45300 5 1396015848134520
swapper/5 0 5 1396015848136302
bpftrace 45300 5 1396015848142665
swapper/5 0 5 1396015848144407
bpftrace 45300 5 1396015848150384
swapper/5 0 5 1396015848152100
bpftrace 45300 5 1396015848157537
swapper/5 0 5 1396015848159233
bpftrace 45300 5 1396015848169080
swapper/5 0 5 1396015848170868
bpftrace 45300 5 1396015848177204
swapper/5 0 5 1396015848179364
bpftrace 45300 5 1396015848185455
swapper/5 0 5 1396015848188748
bpftrace 45300 5 1396015848198185
swapper/5 0 5 1396015848205523
bpftrace 45300 5 1396015848219319
swapper/5 0 5 1396015848221123
bpftrace 45300 5 1396015848230840
swapper/5 0 5 1396015848232610
bpftrace 45300 5 1396015848240817
swapper/5 0 5 1396015848244513
bpftrace 45300 5 1396015848250684
swapper/5 0 5 1396015848252709
bpftrace 45300 5 1396015848265384
swapper/5 0 5 1396015848267300
bpftrace 45300 5 1396015848273857
swapper/5 0 5 1396015848275707
bpftrace 45300 5 1396015848281642
swapper/5 0 5 1396015848289408
bpftrace 45300 5 1396015848305409
swapper/5 0 5 1396015848307184
bpftrace 45300 5 1396015848324646
swapper/5 0 5 1396015848326632
bpftrace 45300 5 1396015848332676
swapper/5 0 5 1396015848334373
